estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total
estacion_virtual_485,Santa Cruz,Patagonia,VIRTUAL,-49.0,-69.0,19.0,,1.9999999999999996,0.1527009820282313,5.85,4.754166666666666,3.85,0.7259659187258829,57.05,39.858200000000004,0.23694679623117854,83.6992,61.84118333333333,43.841,14.653070265978288,742.0942,0.6861000000000006,0.04360324348617278,5.211,4.784,4.5249,0.2085979168378506,57.408,17.1412,0.20708222492245096,33.7229,23.594233333333335,16.5817,4.885946334006124,283.1308,15.2927,0.6828860073634172,15.4799,8.204600000000001,0.1872,5.602806536013894,98.4552,17.919600000000003,0.46443564792644987,22.2541,14.103924999999998,4.3345,6.5503655456810534,169.2471,11.276,1.4150364636515926,8.4627,2.9034333333333335,-2.8133,4.108464036448156,34.8412
estacion_virtual_486,Santa Cruz,Patagonia,VIRTUAL,-49.0,-68.5,0.0,,1.9999999999999996,0.1527009820282313,5.85,4.754166666666666,3.85,0.7259659187258829,57.05,39.858200000000004,0.23694679623117854,83.6992,61.84118333333333,43.841,14.653070265978288,742.0942,0.6861000000000006,0.04360324348617278,5.211,4.784,4.5249,0.2085979168378506,57.408,17.1412,0.20708222492245096,33.7229,23.594233333333335,16.5817,4.885946334006124,283.1308,15.2927,0.6828860073634172,15.4799,8.204600000000001,0.1872,5.602806536013894,98.4552,17.919600000000003,0.46443564792644987,22.2541,14.103924999999998,4.3345,6.5503655456810534,169.2471,11.276,1.4150364636515926,8.4627,2.9034333333333335,-2.8133,4.108464036448156,34.8412
estacion_virtual_487,Santa Cruz,Patagonia,VIRTUAL,-48.5,-72.0,759.0,,4.15,0.10303437083108545,15.15,13.604166666666666,11.0,1.401696753181225,163.25,20.198099999999997,0.09363890786756393,94.4466,84.12129166666666,74.2485,7.8770258800754736,1009.4555,0.5327000000000002,0.03438736626687342,5.1866,4.922475,4.6539,0.16927095076452775,59.069700000000005,27.598200000000006,0.15235529945088197,64.1876,50.197583333333334,36.5894,7.647867840460602,602.371,11.3797,3.0389212724390857,6.9159,1.347875,-4.4638,4.0960860100888326,16.1745,13.8657,0.9416011974825567,12.3323,5.35745,-1.5334,5.044581335452923,64.2894,9.2711,-1.4005811057753839,1.9276,-2.361675,-7.3435,3.3077173829820796,-28.3401
estacion_virtual_488,Santa Cruz,Patagonia,VIRTUAL,-48.5,-71.5,759.0,,3.749999999999999,0.20924216839934137,8.2,6.2250000000000005,4.45,1.3025324982859001,74.7,26.56810000000001,0.1373367578834324,88.397,74.30836666666666,61.8289,10.205270161613317,891.7004,0.5327000000000002,0.03438736626687342,5.1866,4.922475,4.6539,0.16927095076452775,59.069700000000005,18.1179,0.21862951467386774,35.2635,25.67803333333333,17.1456,5.613975965446064,308.1364,12.528599999999999,1.2501188200534026,9.6602,3.6514249999999997,-2.8684,4.564715112513495,43.817099999999996,15.3019,0.6564176972561891,15.8627,8.522608333333332,0.5608,5.594390936783074,102.2713,9.6119,-4.8929921361729685,3.7951,-0.69495,-5.8168,3.400384885033404,-8.3394
estacion_virtual_489,Santa Cruz,Patagonia,VIRTUAL,-48.5,-71.0,794.0,,3.749999999999999,0.20924216839934137,8.2,6.2250000000000005,4.45,1.3025324982859001,74.7,26.56810000000001,0.1373367578834324,88.397,74.30836666666666,61.8289,10.205270161613317,891.7004,0.5327000000000002,0.03438736626687342,5.1866,4.922475,4.6539,0.16927095076452775,59.069700000000005,18.1179,0.21862951467386774,35.2635,25.67803333333333,17.1456,5.613975965446064,308.1364,12.528599999999999,1.2501188200534026,9.6602,3.6514249999999997,-2.8684,4.564715112513495,43.817099999999996,15.3019,0.6564176972561891,15.8627,8.522608333333332,0.5608,5.594390936783074,102.2713,9.6119,-4.8929921361729685,3.7951,-0.69495,-5.8168,3.400384885033404,-8.3394
estacion_virtual_49,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,VIRTUAL,-79.0,-46.5,790.0,,3.4499999999999993,0.14803664344506956,9.35,7.045833333333333,5.9,1.0430415169400526,84.55,3.352300000000014,0.009801866070506104,93.4604,91.75226666666667,90.1081,0.8993434295320283,1101.0272,2.0298999999999996,0.13357770015098447,6.9056,5.6109333333333336,4.8757,0.7494955703671639,50.498400000000004,18.500899999999998,0.2026343141399285,36.4648,25.449250000000003,17.9639,5.156891319125576,305.391,23.210500000000003,-0.34649111906021546,-10.5939,-24.41485,-33.8044,8.459528698187302,-292.9782,22.226200000000002,-0.36626424331785545,-8.8905,-22.181025,-31.1167,8.124116337639435,-266.1723,23.755699999999997,-0.31825992400788444,-12.7898,-26.9564,-36.5455,8.579141815526135,-323.47679999999997
estacion_virtual_490,Santa Cruz,Patagonia,VIRTUAL,-48.5,-69.5,565.0,,2.05,0.1270262032156092,5.75,4.670833333333333,3.7,0.5933182241862414,56.05,36.8214,0.2119774298933433,84.2555,64.420025,47.4341,13.655591333164923,773.0403,0.6861000000000006,0.04360324348617278,5.211,4.784,4.5249,0.2085979168378506,57.408,16.476300000000002,0.20782817475357473,32.5148,22.397133333333333,16.0385,4.654755340379114,268.7656,14.447700000000001,0.780006580836687,13.7682,6.810383333333333,-0.6795,5.312143818020492,81.7246,17.4127,0.5103163088496016,20.6466,12.573583333333334,3.2339,6.416504635679535,150.883,10.2928,2.2233606010401825,6.748,1.6821583333333334,-3.5448,3.740044563044752,20.1859
estacion_virtual_491,Santa Cruz,Patagonia,VIRTUAL,-48.5,-69.0,278.0,,2.05,0.1338448987832169,5.5,4.404166666666667,3.45,0.5894752417244178,52.85,38.9076,0.23734814335676377,81.3186,60.17314166666667,42.411,14.281983454526857,722.0777,0.6861000000000006,0.04360324348617278,5.211,4.784,4.5249,0.2085979168378506,57.408,14.717699999999999,0.20691619060079922,29.9121,21.266949999999998,15.1944,4.400476279697666,255.2034,15.315100000000001,0.6650766207975176,15.7962,8.4329,0.4811,5.608524635523386,101.1948,17.948700000000002,0.4551382622715647,22.7438,14.417233333333334,4.7951,6.5618345260970115,173.0068,11.1643,1.3144733890223175,8.6281,3.09695,-2.5362,4.070858362132666,37.1634
estacion_virtual_492,Santa Cruz,Patagonia,VIRTUAL,-48.5,-68.5,178.0,,2.05,0.1338448987832169,5.5,4.404166666666667,3.45,0.5894752417244178,52.85,38.9076,0.23734814335676377,81.3186,60.17314166666667,42.411,14.281983454526857,722.0777,0.6861000000000006,0.04360324348617278,5.211,4.784,4.5249,0.2085979168378506,57.408,14.717699999999999,0.20691619060079922,29.9121,21.266949999999998,15.1944,4.400476279697666,255.2034,15.315100000000001,0.6650766207975176,15.7962,8.4329,0.4811,5.608524635523386,101.1948,17.948700000000002,0.4551382622715647,22.7438,14.417233333333334,4.7951,6.5618345260970115,173.0068,11.1643,1.3144733890223175,8.6281,3.09695,-2.5362,4.070858362132666,37.1634
estacion_virtual_493,Santa Cruz,Patagonia,VIRTUAL,-48.5,-68.0,187.0,,1.8500000000000005,0.1379178589126517,5.65,4.666666666666667,3.8,0.6436166749257081,56.0,41.612700000000004,0.25523156216112364,82.1251,59.468424999999996,40.5124,15.178219012011617,713.6211,0.5207999999999995,0.03441428529482384,4.9967,4.797616666666666,4.4759,0.16510654870186844,57.5714,12.9411,0.19479658237019212,27.8837,21.788725,14.9426,4.244369164203964,261.4647,16.0102,0.6382478859746488,16.85,9.16225,0.8398,5.8477866932712255,109.947,18.4175,0.43889372773136176,23.7953,15.266791666666668,5.3778,6.700499105081423,183.2015,11.9696,1.1941529347739488,9.6221,3.6611833333333337,-2.3475,4.372012822245469,43.934200000000004
