latitud,longitud,altura,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total
-50.2833,-72.05,204.0,2.4,0.3074,3.8,2.6167,1.4,0.8043,31.4,31.8,0.1975,78.4,62.1917,46.6,12.2804,746.3,0.5,0.0313,4.8,4.4833,4.3,0.1403,53.8,13.4,0.3195,20.3,13.4,6.9,4.2815,160.8,13.3,0.6673,13.9,7.4333,0.6,4.9601,89.2,14.0,0.4085,19.2,12.7,5.2,5.1877,152.4,11.6,2.8243,7.2,1.4917,-4.4,4.2129,17.9
-34.6,-58.6,12.0,2.9,0.1668,7.3,5.8217,4.4,0.9709,69.86,16.6,0.0754,82.1,74.075,65.5,5.5852,888.9,1.0,0.1006,4.2,3.675,3.2,0.3696,44.1,61.8,0.2663,116.3,91.3933,54.5,24.3346,1096.72,14.4,0.302,24.1,17.0083,9.7,5.1369,204.1,13.78,0.2203,29.66,22.46,15.88,4.9488,269.52,13.16,0.3742,19.24,12.5617,6.08,4.7003,150.74
-32.2,-61.72,96.0,5.8,0.3976,8.0,5.225,2.2,2.0776,62.7,12.3,0.0621,78.4,72.3667,66.1,4.4911,868.4,0.9,0.0921,4.1,3.5417,3.2,0.326,42.5,140.7,0.5912,160.0,82.0167,19.3,48.4899,984.2,14.3,0.2936,23.9,17.25,9.6,5.0642,207.0,13.8,0.2025,30.7,24.2667,16.9,4.9152,291.2,13.6,0.44,17.4,11.075,3.8,4.8731,132.9
-42.9,-71.1333,797.0,6.1,0.4168,8.8,5.325,2.7,2.2194,63.9,28.0,0.1797,75.4,60.275,47.4,10.8321,723.3,1.5,0.1249,4.6,3.8667,3.1,0.483,46.4,60.8,0.5446,81.1,39.3833,20.3,21.4467,472.6,13.7,0.5734,15.4,8.6,1.7,4.9315,103.2,16.1,0.3936,22.3,14.5667,6.2,5.7342,174.8,11.0,1.2942,8.6,3.0,-2.4,3.8826,36.0
-80.0,-61.0,109.0,3.8,0.3035,5.45,3.4125,1.65,1.0355,40.95,1.9849,0.0059,96.4338,95.3927,94.4489,0.5672,1144.7124,1.9538,0.1126,6.3569,5.1553,4.4031,0.5804,46.3976,11.7467,0.2412,19.3673,13.1031,7.6206,3.1599,157.2368,32.3203,-0.3922,-10.7765,-30.2807,-43.0968,11.8756,-363.3682,30.8746,-0.4089,-9.145,-27.7824,-40.0196,11.3611,-333.3888,33.2364,-0.3683,-12.8451,-32.9828,-46.0815,12.1484,-395.794
-80.0,-60.5,108.0,4.1,0.3216,5.55,3.3292,1.45,1.0708,39.95,1.8385,0.0057,96.4075,95.4089,94.569,0.5444,1144.907,1.9538,0.1126,6.3569,5.1553,4.4031,0.5804,46.3976,11.5935,0.2421,18.965,12.7722,7.3715,3.0922,153.266,32.2898,-0.3928,-10.7161,-30.1828,-43.0059,11.8559,-362.1935,30.8378,-0.4097,-9.0786,-27.6682,-39.9164,11.3366,-332.0183,33.2206,-0.3687,-12.7943,-32.905,-46.0149,12.1317,-394.8599
-76.0,-68.0,85.0,4.7,0.2065,9.8,7.0917,5.1,1.4641,85.1,3.4609,0.0131,91.1137,89.6586,87.6528,1.174,1075.9036,1.593,0.0993,7.1084,6.068,5.5154,0.6025,54.6116,23.0834,0.2581,39.7313,24.8135,16.6479,6.4053,297.7622,19.721,-0.3119,-11.2358,-23.3597,-30.9568,7.2859,-280.3165,18.4122,-0.3291,-9.3009,-20.6752,-27.7131,6.8043,-248.1021,20.137,-0.2813,-13.8419,-26.2603,-33.9789,7.3866,-315.1233
-31.0,-69.0,2058.0,4.1,0.8383,4.4,1.5792,0.3,1.3238,18.95,15.7303,0.152,49.0167,40.1865,33.2864,6.1092,482.2381,1.269,0.1308,3.2562,2.505,1.9872,0.3276,30.0598,33.5209,0.9572,35.7031,11.2197,2.1822,10.739,134.6365,14.9624,0.3415,23.2891,15.9994,8.3267,5.4642,191.9925,12.8748,0.196,30.3326,24.242,17.4578,4.7515,290.9043,14.0374,0.5628,16.1557,9.0007,2.1183,5.0653,108.0079
-31.0,-68.0,538.0,5.75,0.8765,6.1,2.25,0.35,1.9721,27.0,20.9625,0.1667,55.1614,43.6452,34.1989,7.2778,523.7418,1.4623,0.1648,3.5268,2.7603,2.0645,0.4549,33.1231,36.6199,0.9369,38.7307,12.8674,2.1108,12.0557,154.4089,17.4846,0.3319,27.6513,19.3165,10.1667,6.411,231.7977,15.8592,0.2113,35.2067,27.746,19.3475,5.8614,332.9521,16.5444,0.4962,20.1769,12.0898,3.6325,5.9986,145.0776
-31.0,-67.5,522.0,8.85,0.8218,9.3,3.9333,0.45,3.2324,47.2,22.3788,0.1556,63.6971,51.491,41.3183,8.0111,617.8918,1.4623,0.1648,3.5268,2.7603,2.0645,0.4549,33.1231,54.0256,0.8822,57.096,22.2713,3.0704,19.6482,267.2555,16.3219,0.3455,25.0724,17.2814,8.7505,5.97,207.3769,14.8786,0.2177,32.1887,25.1742,17.3101,5.4813,302.0903,15.0712,0.5183,17.8822,10.5391,2.811,5.4625,126.4692
-31.0,-67.0,537.0,10.2,0.7867,10.8,4.8167,0.6,3.7894,57.8,24.2687,0.1676,66.5029,53.5743,42.2342,8.9766,642.8916,1.5969,0.1698,3.8845,3.0231,2.2876,0.5133,36.2778,71.5267,0.861,75.4625,32.0001,3.9358,27.5507,384.0009,16.5596,0.3376,25.7613,18.0162,9.2017,6.0828,216.1939,15.648,0.2257,32.9692,25.6979,17.3212,5.8005,308.3753,15.352,0.489,18.7049,11.4229,3.3529,5.5858,137.0746
-31.0,-66.5,445.0,10.9,0.737,11.65,5.7042,0.75,4.2038,68.45,25.2657,0.1714,68.9498,55.8162,43.6841,9.5645,669.7939,1.5969,0.1698,3.8845,3.0231,2.2876,0.5133,36.2778,86.9043,0.8401,92.2508,41.0208,5.3465,34.4603,492.2492,16.5775,0.3264,26.3518,18.7008,9.7743,6.1034,224.41,15.9886,0.2271,33.4976,26.1562,17.509,5.9412,313.8743,15.2327,0.4561,19.3004,12.1951,4.0677,5.5619,146.3409
-31.0,-66.0,388.0,10.9,0.737,11.65,5.7042,0.75,4.2038,68.45,25.2657,0.1714,68.9498,55.8162,43.6841,9.5645,669.7939,1.4787,0.1224,4.6043,3.7683,3.1256,0.4612,45.2191,86.9043,0.8401,92.2508,41.0208,5.3465,34.4603,492.2492,16.5775,0.3264,26.3518,18.7008,9.7743,6.1034,224.41,15.9886,0.2271,33.4976,26.1562,17.509,5.9412,313.8743,15.2327,0.4561,19.3004,12.1951,4.0677,5.5619,146.3409
