latitud,longitud,altura,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados,ghi
-31.4167,-64.1833,425.0,8.6,0.6122,9.6,5.325,1.0,3.26,63.9,17.9,0.1018,73.6,65.15,55.7,6.6315,781.8,1.3,0.0961,4.1,3.5167,2.8,0.338,42.2,137.2,0.7617,143.9,67.9667,6.7,51.7677,815.6,13.9,0.2691,24.7,18.3833,10.8,4.9466,220.6,12.8,0.1794,31.2,25.3417,18.4,4.5472,304.1,13.4,0.3763,18.9,12.75,5.5,4.798,153.0,14.0485,9.9515,7.9669,54.8665,209.883
-38.0,-61.33,247.0,4.3,0.2393,7.6,5.6583,3.3,1.3541,67.9,18.3,0.0849,79.5,71.3917,61.2,6.0614,856.7,1.0,0.0979,4.3,3.8583,3.3,0.3777,46.3,70.7,0.3907,93.2,62.775,22.5,24.5272,753.3,15.3,0.4008,21.5,13.65,6.2,5.4705,163.8,16.8,0.2881,29.3,20.7333,12.5,5.9735,248.8,12.6,0.6303,13.7,7.225,1.1,4.5539,86.7,14.6413,9.3587,14.5502,61.4498,200.38
-37.45,-61.8833,233.0,4.3,0.3155,7.0,5.2,2.7,1.6407,57.2,20.6,0.0916,81.5,72.5091,60.9,6.6442,797.6,0.9,0.0887,4.4,3.9745,3.5,0.3526,43.72,70.1,0.425,94.2,62.9818,24.1,26.7641,692.8,14.5,0.4004,21.3,13.1436,6.8,5.2632,144.58,16.5,0.2855,29.0,20.1909,12.5,5.7638,222.1,13.4,0.7186,13.8,6.4636,0.4,4.6446,71.1,14.5873,9.4127,14.0002,60.8998,200.38
-27.4333,-58.75,62.0,5.2,0.2877,8.3,6.2583,3.1,1.8007,75.1,11.9,0.0555,80.4,74.125,68.5,4.1128,889.5,1.1,0.0862,4.3,3.6,3.2,0.3104,43.2,152.6,0.4858,184.8,121.2583,32.2,58.9079,1455.1,11.7,0.1951,26.9,21.375,15.2,4.1698,256.5,11.8,0.1536,33.0,27.3417,21.2,4.2005,328.1,11.2,0.243,21.6,16.35,10.4,3.9737,196.2,13.735,10.265,3.9835,50.8831,202.8449
-36.3167,-57.7167,9.0,2.4,0.1375,7.4,6.1417,5.0,0.8447,73.7,14.1,0.0602,85.2,79.1917,71.1,4.7676,950.3,1.0,0.1064,4.0,3.55,3.0,0.3778,42.6,50.5,0.2123,109.2,82.2167,58.7,17.4539,986.6,13.8,0.3282,21.8,15.0583,8.0,4.9417,180.7,14.9,0.2506,28.5,21.25,13.6,5.3245,255.0,11.6,0.4334,15.4,9.675,3.8,4.1929,116.1,14.479,9.521,12.8669,59.7665,194.56
-41.95,-71.5333,326.0,9.8,0.4649,13.6,7.875,3.8,3.6614,94.5,24.6,0.1289,83.8,72.1417,59.2,9.2983,865.7,2.5,0.1833,5.6,4.3667,3.1,0.8004,52.4,142.3,0.6507,173.1,75.4667,30.8,49.1063,905.6,13.8,0.4921,17.4,10.15,3.6,4.995,121.8,16.9,0.3608,25.7,17.3333,8.8,6.2545,208.0,8.3,0.825,7.9,3.6167,-0.4,2.9838,43.4,15.0596,8.9404,18.5002,65.3998,183.9282
-50.2833,-72.05,204.0,2.4,0.3074,3.8,2.6167,1.4,0.8043,31.4,31.8,0.1975,78.4,62.1917,46.6,12.2804,746.3,0.5,0.0313,4.8,4.4833,4.3,0.1403,53.8,13.4,0.3195,20.3,13.4,6.9,4.2815,160.8,13.3,0.6673,13.9,7.4333,0.6,4.9601,89.2,14.0,0.4085,19.2,12.7,5.2,5.1877,152.4,11.6,2.8243,7.2,1.4917,-4.4,4.2129,17.9,16.1971,7.8029,26.8335,73.7331,134.1572
-34.6,-58.6,12.0,2.9,0.1668,7.3,5.8217,4.4,0.9709,69.86,16.6,0.0754,82.1,74.075,65.5,5.5852,888.9,1.0,0.1006,4.2,3.675,3.2,0.3696,44.1,61.8,0.2663,116.3,91.3933,54.5,24.3346,1096.72,14.4,0.302,24.1,17.0083,9.7,5.1369,204.1,13.78,0.2203,29.66,22.46,15.88,4.9488,269.52,13.16,0.3742,19.24,12.5617,6.08,4.7003,150.74,14.3216,9.6784,11.1502,58.0498,199.8639
-32.2,-61.72,96.0,5.8,0.3976,8.0,5.225,2.2,2.0776,62.7,12.3,0.0621,78.4,72.3667,66.1,4.4911,868.4,0.9,0.0921,4.1,3.5417,3.2,0.326,42.5,140.7,0.5912,160.0,82.0167,19.3,48.4899,984.2,14.3,0.2936,23.9,17.25,9.6,5.0642,207.0,13.8,0.2025,30.7,24.2667,16.9,4.9152,291.2,13.6,0.44,17.4,11.075,3.8,4.8731,132.9,14.1137,9.8863,8.7502,55.6498,204.7352
-42.9,-71.1333,797.0,6.1,0.4168,8.8,5.325,2.7,2.2194,63.9,28.0,0.1797,75.4,60.275,47.4,10.8321,723.3,1.5,0.1249,4.6,3.8667,3.1,0.483,46.4,60.8,0.5446,81.1,39.3833,20.3,21.4467,472.6,13.7,0.5734,15.4,8.6,1.7,4.9315,103.2,16.1,0.3936,22.3,14.5667,6.2,5.7342,174.8,11.0,1.2942,8.6,3.0,-2.4,3.8826,36.0,15.1695,8.8305,19.4502,66.3498,182.7318
-52.0,-60.0,0.0,5.8,0.1465,15.15,12.4083,9.35,1.8179,148.9,10.1968,0.0457,88.4194,83.8714,78.2226,3.8289,1006.4567,0.7277,0.0422,6.462,6.053,5.7343,0.2557,72.6354,27.7652,0.1635,63.5421,49.1843,35.7769,8.0413,590.2117,7.1618,0.4133,10.0659,6.4404,2.9041,2.6617,77.2848,8.2837,0.3618,12.5361,8.4679,4.2524,3.0633,101.6153,5.8594,0.498,7.4394,4.427,1.58,2.2045,53.1244,16.4966,7.5034,28.5502,75.4498,132.121
-52.0,-59.0,0.0,5.95,0.1354,15.9,13.1542,9.95,1.7806,157.85,11.7461,0.0521,89.319,83.8032,77.5729,4.3641,1005.6386,0.7277,0.0422,6.462,6.053,5.7343,0.2557,72.6354,29.9812,0.1604,66.6799,51.9113,36.6987,8.3276,622.9358,7.4421,0.4331,10.1565,6.3893,2.7144,2.7674,76.6721,8.8266,0.378,12.9145,8.6088,4.0879,3.2543,103.3051,5.9326,0.5287,7.306,4.2391,1.3734,2.2411,50.8697,16.4966,7.5034,28.5502,75.4498,132.121
-48.0,-69.0,248.0,2.25,0.1696,5.65,4.5292,3.4,0.7683,54.35,38.9522,0.2343,82.0857,61.2709,43.1335,14.3573,735.2502,0.5475,0.042,4.8837,4.5927,4.3362,0.1929,55.1124,12.489,0.1877,25.7204,19.8021,13.2314,3.7169,237.6252,15.2256,0.7143,15.2265,7.813,0.0009,5.5808,93.7558,18.1162,0.4796,22.3653,13.8277,4.2491,6.6321,165.9322,10.8294,1.5969,7.8731,2.4677,-2.9563,3.9406,29.6127,15.84,8.16,24.5502,71.4498,174.2976
-26.0,-66.0,3261.0,15.7,0.7488,16.45,8.0667,0.75,6.0401,96.8,36.6984,0.2497,74.8003,54.6709,38.1019,13.6539,656.0507,2.8493,0.2537,5.0594,3.8134,2.2101,0.9675,45.7607,190.732,0.9795,193.6617,72.6962,2.9297,71.2071,872.3541,8.4207,0.4312,11.165,7.5052,2.7443,3.2359,90.0627,7.2474,0.1617,19.1981,16.1162,11.9507,2.6053,193.3943,8.6547,4.2763,5.3493,0.7746,-3.3054,3.3123,9.295,13.6285,10.3715,2.5502,49.4498,225.2605
-26.0,-64.0,184.0,14.2,0.7139,15.05,8.1042,0.85,5.7853,97.25,31.4688,0.1938,71.2115,58.3415,39.7427,11.3088,700.0974,2.1592,0.1577,5.1653,4.4,3.0061,0.6938,52.8001,166.3444,0.9011,169.5384,71.8894,3.194,64.7802,862.6731,12.4444,0.2075,28.053,22.966,15.6086,4.7648,275.592,11.7588,0.1437,35.5493,30.477,23.7905,4.3781,365.7237,12.9901,0.2941,21.7978,16.3011,8.8077,4.7948,195.6126,13.6285,10.3715,2.5502,49.4498,205.2215
-26.0,-63.0,172.0,14.0,0.6198,15.55,8.7583,1.55,5.4286,105.1,28.4472,0.1724,69.3585,57.6052,40.9113,9.933,691.2624,2.0233,0.1527,5.3286,4.5493,3.3053,0.6947,54.5915,148.5834,0.8339,153.6077,68.5085,5.0243,57.1279,822.1019,12.2813,0.2005,28.4415,23.2932,16.1602,4.6697,279.5186,11.1633,0.1403,35.4537,30.8813,24.2904,4.3341,370.5752,12.8171,0.2848,22.0359,16.5633,9.2188,4.7177,198.7598,13.6285,10.3715,2.5502,49.4498,201.2293
-26.0,-62.0,151.0,10.8,0.5156,13.0,7.9583,2.2,4.1034,95.5,24.0808,0.1375,69.1319,58.0324,45.0511,7.9821,696.3884,1.8355,0.1224,5.0283,4.318,3.1928,0.5283,51.8155,114.9635,0.6474,127.5829,73.2261,12.6194,47.4084,878.7135,12.5694,0.1996,29.155,23.5721,16.5856,4.706,282.8654,11.5114,0.1435,35.7262,30.808,24.2148,4.4212,369.6956,12.8829,0.2742,22.9129,17.1332,10.03,4.6979,205.5978,13.6285,10.3715,2.5502,49.4498,203.2315
-25.0,-68.0,3963.0,10.7,0.992,11.05,4.35,0.35,4.3153,52.2,20.7127,0.2399,41.6675,29.5858,20.9548,7.098,355.0297,1.1594,0.1828,3.0896,2.3937,1.9302,0.4376,28.7242,48.2688,1.0715,49.4137,17.1914,1.1449,18.4204,206.2964,10.8108,1.1146,8.9098,3.5289,-1.901,3.9331,42.3466,12.311,0.357,18.6921,13.1915,6.3811,4.709,158.2977,7.4905,-0.61,-0.021,-4.0313,-7.5115,2.4591,-48.3762,13.556,10.444,1.5502,48.4498,292.9482
-25.0,-67.0,4801.0,16.1,0.8963,16.65,7.2125,0.55,6.4649,86.55,30.0077,0.2467,58.9715,42.2435,28.9638,10.4209,506.9226,2.1618,0.3444,3.5629,2.0524,1.4011,0.7068,24.6289,168.9814,1.0764,171.1035,59.7686,2.1221,64.3333,717.2231,10.586,1.2414,8.193,3.1677,-2.393,3.9322,38.012,11.5865,0.3634,17.2483,11.9716,5.6618,4.3507,143.6597,8.5777,-0.7244,0.3312,-3.9457,-8.2465,2.8582,-47.3484,13.556,10.444,1.5502,48.4498,284.1677
-25.0,-64.0,297.0,15.55,0.7987,16.35,8.1417,0.8,6.5029,97.7,32.2114,0.2037,71.0272,57.7594,38.8158,11.7642,693.1124,2.1993,0.1454,5.4765,4.6191,3.2772,0.6715,55.4289,186.6348,0.9992,189.7121,66.1604,3.0773,66.1091,793.9252,12.0084,0.198,28.2497,23.3042,16.2413,4.6146,279.6509,11.618,0.1385,35.9219,30.7119,24.3039,4.2538,368.5427,12.4757,0.2784,21.9465,16.772,9.4708,4.669,201.2638,13.556,10.444,1.5502,48.4498,205.3001
-25.0,-63.0,225.0,14.75,0.684,16.1,8.825,1.35,6.0366,105.9,28.8031,0.1806,68.3705,56.7342,39.5674,10.2464,680.81,1.9455,0.1318,5.2417,4.5044,3.2962,0.5936,54.0533,174.7525,0.896,180.7202,65.3764,5.9677,58.5755,784.5172,11.8977,0.1909,28.8857,23.924,16.988,4.5665,287.0884,11.0857,0.1349,36.1731,31.4883,25.0874,4.2468,377.8595,12.4181,0.2692,22.4112,17.196,9.9931,4.6296,206.3525,13.556,10.444,1.5502,48.4498,201.4086
