estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados,ghi,dhi,dni
estacion_virtual_572,Chubut,Patagonia,VIRTUAL,-44.5,-66.5,388.0,,2.9,0.2612,5.15,3.7292,2.25,0.9741,44.75,40.3052,0.2547,79.1382,58.1149,38.833,14.8002,697.3792,1.1489,0.0963,4.5468,4.0954,3.3979,0.3943,49.1446,25.9572,0.4021,34.9909,19.529,9.0337,7.8536,234.3483,16.7172,0.5477,19.3805,11.0589,2.6633,6.0572,132.7072,18.6822,0.3914,26.5331,17.4279,7.8509,6.8217,209.1351,12.8121,0.8591,11.9437,5.4025,-0.8684,4.6412,64.8304,1405.913,1316.8187,-23.0859,23.4498,15.3018,8.6359,21.4141,67.9498,187.57758333333334,75.26941666666666,220.38450000000003
estacion_virtual_573,Chubut,Patagonia,VIRTUAL,-44.5,-66.0,358.0,,2.9,0.2612,5.15,3.7292,2.25,0.9741,44.75,40.3052,0.2547,79.1382,58.1149,38.833,14.8002,697.3792,1.6292,0.1298,4.9029,4.1476,3.2737,0.5384,49.7709,25.9572,0.4021,34.9909,19.529,9.0337,7.8536,234.3483,16.7172,0.5477,19.3805,11.0589,2.6633,6.0572,132.7072,18.6822,0.3914,26.5331,17.4279,7.8509,6.8217,209.1351,12.8121,0.8591,11.9437,5.4025,-0.8684,4.6412,64.8304,1405.913,1316.8187,-23.0859,23.4498,15.3018,8.6359,21.4141,67.9498,184.80252777777778,70.64075,219.400875
estacion_virtual_574,Chubut,Patagonia,VIRTUAL,-44.5,-65.5,121.0,,2.6,0.2286,5.4,3.9417,2.8,0.9012,47.3,34.122,0.2111,76.6274,59.0147,42.5054,12.4607,708.1761,1.6292,0.1298,4.9029,4.1476,3.2737,0.5384,49.7709,25.66,0.3678,37.2949,20.8523,11.6349,7.6687,250.2277,15.3624,0.4636,19.6378,11.9595,4.2754,5.5439,143.514,16.787,0.3469,25.8926,17.6254,9.1056,6.1136,211.5042,12.3121,0.6416,13.1962,6.9387,0.8841,4.4519,83.2643,1405.913,1316.8187,-23.0859,23.4498,15.3018,8.6359,21.4141,67.9498,184.80252777777778,70.64075,219.400875
estacion_virtual_575,Chubut,Patagonia,VIRTUAL,-44.0,-71.5,1384.0,,9.4,0.2429,16.5,11.1917,7.1,2.7188,134.3,18.7261,0.0832,93.7954,83.5305,75.0693,6.9495,1002.3661,1.9533,0.1299,5.7771,5.0105,3.8238,0.651,60.126,88.4812,0.3399,140.8143,79.9438,52.3331,27.1729,959.3253,11.8144,0.8594,10.6581,4.8608,-1.1563,4.1772,58.3299,15.1522,0.554,16.9963,9.6936,1.8441,5.3702,116.3233,8.7909,4.283,4.9647,0.7009,-3.8262,3.0019,8.4106,1405.913,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498,176.1595,79.02769444444444,209.73337500000002
estacion_virtual_576,Chubut,Patagonia,VIRTUAL,-44.0,-71.0,782.0,,9.4,0.2429,16.5,11.1917,7.1,2.7188,134.3,18.7261,0.0832,93.7954,83.5305,75.0693,6.9495,1002.3661,1.7162,0.1454,4.9387,4.2417,3.2225,0.6166,50.9002,88.4812,0.3399,140.8143,79.9438,52.3331,27.1729,959.3253,11.8144,0.8594,10.6581,4.8608,-1.1563,4.1772,58.3299,15.1522,0.554,16.9963,9.6936,1.8441,5.3702,116.3233,8.7909,4.283,4.9647,0.7009,-3.8262,3.0019,8.4106,1405.913,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498,191.31102777777778,73.85783333333333,239.21237499999998
estacion_virtual_577,Chubut,Patagonia,VIRTUAL,-44.0,-70.5,599.0,,9.25,0.2772,15.55,10.1292,6.3,2.8078,121.55,26.786,0.1264,92.4195,78.4039,65.6335,9.9082,940.8473,1.7162,0.1454,4.9387,4.2417,3.2225,0.6166,50.9002,81.5485,0.3744,121.3877,66.614,39.8392,24.9392,799.3675,13.1987,0.8266,12.2416,5.698,-0.9571,4.7101,68.3758,17.2095,0.5515,19.567,11.1392,2.3575,6.1433,133.6705,9.3592,3.1707,5.6303,1.016,-3.7289,3.2215,12.192,1405.913,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498,191.31102777777778,73.85783333333333,239.21237499999998
estacion_virtual_578,Chubut,Patagonia,VIRTUAL,-44.0,-70.0,551.0,,8.1,0.3041,13.7,8.8208,5.6,2.6826,105.85,30.6688,0.1495,92.1987,76.3173,61.5299,11.4126,915.8073,1.4604,0.1271,4.7365,4.1901,3.2761,0.5326,50.2811,68.5621,0.4174,96.1815,51.1643,27.6194,21.3583,613.9718,13.8194,0.8585,12.6792,5.8061,-1.1402,4.9845,69.6728,17.9841,0.5679,20.2219,11.4401,2.2378,6.497,137.2808,9.5292,3.5565,5.6837,0.9334,-3.8455,3.3195,11.2003,1405.913,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498,192.39152777777772,74.4101111111111,241.86991666666665
estacion_virtual_579,Chubut,Patagonia,VIRTUAL,-44.0,-69.5,799.0,,7.85,0.3123,12.85,7.95,5.0,2.4825,95.4,35.436,0.1924,87.8436,69.1553,52.4076,13.3021,829.864,1.4604,0.1271,4.7365,4.1901,3.2761,0.5326,50.2811,55.441,0.4369,75.9326,39.935,20.4916,17.4476,479.2206,15.0267,0.7097,15.1164,7.7284,0.0897,5.4849,92.7404,18.5809,0.4878,22.848,13.9036,4.2671,6.7821,166.8435,10.4777,1.6308,7.5799,2.2993,-2.8978,3.7497,27.5921,1405.913,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498,192.39152777777772,74.4101111111111,241.86991666666665
estacion_virtual_58,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,VIRTUAL,-78.5,-49.5,212.0,,2.45,0.1313,6.45,5.1042,4.0,0.67,61.25,2.7631,0.0086,92.9785,92.0143,90.2154,0.7894,1104.1718,1.582,0.0917,6.6397,5.6478,5.0577,0.5178,50.8305,8.6373,0.1541,22.3506,16.7799,13.7133,2.5859,201.3592,25.9547,-0.3866,-9.1193,-24.4155,-35.074,9.4383,-292.9862,24.3864,-0.4098,-7.3061,-21.8069,-31.6925,8.9373,-261.683,27.0115,-0.3548,-11.4975,-27.3582,-38.509,9.7078,-328.2979,1405.913,1316.8187,-23.0859,23.4498,24.0,0.0,55.4141,101.9498,129.20525,63.14869444444444,165.56916666666666
estacion_virtual_580,Chubut,Patagonia,VIRTUAL,-44.0,-69.0,397.0,,6.75,0.323,10.95,6.95,4.2,2.2449,83.4,39.5963,0.2312,84.6939,63.6465,45.0976,14.7135,763.7581,1.3758,0.1151,4.6869,4.1592,3.3111,0.4786,49.9107,40.3783,0.4354,55.6518,30.0806,15.2735,13.0985,360.9675,16.4077,0.6238,17.6013,9.56,1.1936,5.9634,114.7205,19.12,0.4295,25.3826,16.2224,6.2626,6.9675,194.6691,11.8234,1.1979,9.5572,3.5986,-2.2662,4.3109,43.1831,1405.913,1316.8187,-23.0859,23.4498,15.2409,8.6981,20.9141,67.4498,191.66477777777777,75.36833333333334,238.77170833333335
