estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados
estacion_virtual_744,La Pampa,Pampeana,VIRTUAL,-38.5000,-63.5000,26.0000,,5.8500,0.2876,9.5500,6.4167,3.7000,1.8452,77.0000,33.4470,0.2169,72.5832,56.8417,39.1362,12.3302,682.1004,1.9377,0.1937,4.7199,3.8494,2.7822,0.7455,46.1923,56.8880,0.3774,75.5283,48.3248,18.6403,18.2389,579.8972,18.9637,0.4285,25.5601,15.8695,6.5964,6.8008,190.4346,20.4877,0.3188,33.5093,23.1364,13.0216,7.3767,277.6362,15.4013,0.5867,17.3809,9.3752,1.9796,5.5007,112.5028,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_745,Buenos Aires,Pampeana,VIRTUAL,-38.5000,-63.0000,70.0000,,5.0500,0.2751,8.4500,5.7583,3.4000,1.5841,69.1000,32.5528,0.2008,74.6282,59.6112,42.0754,11.9728,715.3343,1.7963,0.1800,4.7115,3.9114,2.9152,0.7042,46.9370,62.2526,0.3692,82.1545,51.4820,19.9019,19.0067,617.7841,18.5146,0.4285,24.9803,15.4929,6.4657,6.6394,185.9145,20.3912,0.3253,32.8859,22.5384,12.4947,7.3318,270.4602,14.9262,0.5768,17.0358,9.2690,2.1096,5.3465,111.2281,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_746,Buenos Aires,Pampeana,VIRTUAL,-38.5000,-61.5000,203.0000,,4.8000,0.2216,9.3500,6.9875,4.5500,1.5485,83.8500,27.2344,0.1459,78.0871,66.1454,50.8527,9.6476,793.7445,1.6848,0.1599,4.7887,4.0325,3.1039,0.6447,48.3904,57.7603,0.3303,86.9813,59.8850,29.2210,19.7823,718.6200,16.5657,0.4166,22.7573,14.2350,6.1916,5.9300,170.8206,18.8773,0.3210,30.5670,20.9030,11.6897,6.7095,250.8358,12.8218,0.5511,15.0191,8.4399,2.1973,4.6514,101.2787,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_747,Buenos Aires,Pampeana,VIRTUAL,-38.5000,-61.0000,140.0000,,4.8000,0.2216,9.3500,6.9875,4.5500,1.5485,83.8500,27.2344,0.1459,78.0871,66.1454,50.8527,9.6476,793.7445,1.6842,0.1533,4.9371,4.1639,3.2529,0.6382,49.9666,57.7603,0.3303,86.9813,59.8850,29.2210,19.7823,718.6200,16.5657,0.4166,22.7573,14.2350,6.1916,5.9300,170.8206,18.8773,0.3210,30.5670,20.9030,11.6897,6.7095,250.8358,12.8218,0.5511,15.0191,8.4399,2.1973,4.6514,101.2787,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_748,Buenos Aires,Pampeana,VIRTUAL,-38.5000,-59.5000,51.0000,,3.8500,0.1944,9.4000,7.8958,5.5500,1.5348,94.7500,18.9861,0.0919,81.0968,72.6847,62.1107,6.6824,872.2168,1.7340,0.1500,5.1204,4.2829,3.3864,0.6423,51.3947,69.4906,0.2979,113.4835,71.9656,43.9929,21.4379,863.5872,14.3874,0.3681,21.3928,14.0797,7.0054,5.1822,168.9566,16.3161,0.2852,28.6195,20.2815,12.3034,5.7849,243.3776,11.5429,0.4825,14.6153,8.7233,3.0724,4.2092,104.6796,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_749,Buenos Aires,Pampeana,VIRTUAL,-38.5000,-59.0000,32.0000,,3.6500,0.1711,9.9000,8.3958,6.2500,1.4369,100.7500,16.1049,0.0753,81.7237,74.6629,65.6188,5.6204,895.9544,1.8256,0.1548,5.2879,4.3418,3.4623,0.6722,52.1016,60.8182,0.2324,112.6791,76.4392,51.8609,17.7667,917.2706,13.1728,0.3382,20.9254,14.2220,7.7526,4.8106,170.6645,14.7773,0.2778,26.6471,19.0930,11.8698,5.3034,229.1163,11.2343,0.4120,15.7729,9.9472,4.5386,4.0985,119.3658,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_75,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Patagonia,VIRTUAL,-78.0000,-47.5000,609.0000,,2.4000,0.1228,7.6000,6.1417,5.2000,0.7540,73.7000,6.2271,0.0218,97.6876,95.4900,91.4605,2.0815,1145.8802,1.5587,0.0927,7.2600,6.1542,5.7013,0.5708,55.3879,11.0581,0.1542,28.4954,21.4637,17.4373,3.3104,257.5643,25.9618,-0.4097,-7.9642,-23.4372,-33.9260,9.6028,-281.2465,24.3520,-0.4382,-6.1564,-20.7633,-30.5084,9.0978,-249.1591,26.8056,-0.3721,-10.3308,-26.3860,-37.1364,9.8173,-316.6314,1405.9130,1316.8187,-23.0859,23.4498,24.0000,0.0000,54.9141,101.4498
estacion_virtual_750,Buenos Aires,Pampeana,VIRTUAL,-38.5000,-58.5000,15.0000,,3.6500,0.1711,9.9000,8.3958,6.2500,1.4369,100.7500,16.1049,0.0753,81.7237,74.6629,65.6188,5.6204,895.9544,1.8256,0.1548,5.2879,4.3418,3.4623,0.6722,52.1016,60.8182,0.2324,112.6791,76.4392,51.8609,17.7667,917.2706,13.1728,0.3382,20.9254,14.2220,7.7526,4.8106,170.6645,14.7773,0.2778,26.6471,19.0930,11.8698,5.3034,229.1163,11.2343,0.4120,15.7729,9.9472,4.5386,4.0985,119.3658,1405.9130,1316.8187,-23.0859,23.4498,14.6425,9.3088,15.4141,61.9498
estacion_virtual_751,Neuquén,Patagonia,VIRTUAL,-38.0000,-71.0000,1388.0000,,12.4000,0.4853,15.9500,9.3375,3.5500,4.5312,112.0500,26.5540,0.1321,85.3398,72.1250,58.7858,9.5309,865.4999,3.2835,0.3748,4.9703,3.4419,1.6868,1.2901,41.3024,121.0814,0.6010,141.7750,64.9965,20.6936,39.0617,779.9580,13.6585,0.7869,13.2606,6.2699,-0.3979,4.9341,75.2391,17.7664,0.5044,21.4704,12.8056,3.7040,6.4587,153.6669,9.4332,4.2348,5.6953,0.7823,-3.7379,3.3129,9.3875,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
estacion_virtual_752,Neuquén,Patagonia,VIRTUAL,-38.0000,-70.5000,1573.0000,,11.4000,0.4636,15.1000,8.9417,3.7000,4.1453,107.3000,29.2367,0.1691,77.4713,62.6139,48.2346,10.5863,751.3673,3.2835,0.3748,4.9703,3.4419,1.6868,1.2901,41.3024,92.5793,0.5612,112.1005,53.3004,19.5212,29.9119,639.6045,15.5429,0.6504,16.5611,8.6082,1.0182,5.5990,103.2989,19.0011,0.4210,25.4701,16.2146,6.4690,6.8261,194.5754,10.8506,1.7751,7.9020,2.2150,-2.9486,3.9319,26.5800,1405.9130,1316.8187,-23.0859,23.4498,14.5936,9.3587,14.9141,61.4498
