estacion,mes,frecuencia_dias_precipitacion_gt_1mm,humedad_relativa_porcentaje,nubosidad_octavos,precipitacion_mm,temperatura,temperatura_maxima_c,temperatura_minima_c,provincia,region,latitud,longitud,altura,oaci,nro
base_carlini_ex_jubany,5,,87.0,6.5,,-2.8,-0.4,-5.3,ANTARTIDA,Antártida,-62.23333333333333,-58.65,11.0,SAYJ,89053.0
base_carlini_ex_jubany,6,,87.1,6.4,,-5.2,-2.5,-8.1,ANTARTIDA,Antártida,-62.23333333333333,-58.65,11.0,SAYJ,89053.0
base_carlini_ex_jubany,7,,87.19999999999999,6.4,,-5.8,-3.0,-9.0,ANTARTIDA,Antártida,-62.23333333333333,-58.65,11.0,SAYJ,89053.0
base_carlini_ex_jubany,8,,87.3,6.6,,-5.3,-2.6,-8.3,ANTARTIDA,Antártida,-62.23333333333333,-58.65,11.0,SAYJ,89053.0
base_carlini_ex_jubany,9,,87.39999999999999,6.7,,-3.7,-1.2,-6.5,ANTARTIDA,Antártida,-62.23333333333333,-58.65,11.0,SAYJ,89053.0
base_carlini_ex_jubany,10,,87.5,6.9,,-1.9,0.2,-4.2,ANTARTIDA,Antártida,-62.23333333333333,-58.65,11.0,SAYJ,89053.0
base_carlini_ex_jubany,11,,87.6,7.0,,-0.2,1.7,-2.2,ANTARTIDA,Antártida,-62.23333333333333,-58.65,11.0,SAYJ,89053.0
base_carlini_ex_jubany,12,,84.7,7.0,,1.2,3.2,-0.6,ANTARTIDA,Antártida,-62.23333333333333,-58.65,11.0,SAYJ,89053.0
base_esperanza,1,,80.1,6.3,,1.5,4.3,-1.2,ANTARTIDA,Antártida,-63.38333333333333,-56.98333333333333,24.0,SAYE,88963.0
base_esperanza,2,,79.5,6.0,,0.9,3.9,-2.0,ANTARTIDA,Antártida,-63.38333333333333,-56.98333333333333,24.0,SAYE,88963.0
base_esperanza,3,,79.49,5.9,,-2.0,1.4,-5.2,ANTARTIDA,Antártida,-63.38333333333333,-56.98333333333333,24.0,SAYE,88963.0
base_esperanza,4,,79.48,5.7,,-5.5,-1.7,-8.9,ANTARTIDA,Antártida,-63.38333333333333,-56.98333333333333,24.0,SAYE,88963.0
base_esperanza,5,,79.47,5.4,,-7.4,-3.2,-11.2,ANTARTIDA,Antártida,-63.38333333333333,-56.98333333333333,24.0,SAYE,88963.0
